seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	203096683	203096691	9	*	X0057	134	203096836	203136533	39698	+	144	upstream	144	ADORA1
chr1	204654973	204654983	11	*	X0058	10446	204586303	204654597	68295	-	375	upstream	375	LRRN2
chr1	212874386	212874394	9	*	X0063	55509	212859759	212873327	13569	-	1058	upstream	1058	BATF3
chr1	214159551	214159561	11	*	X0067	5629	214161278	214214847	53570	+	1716	upstream	1716	PROX1
chr1	214159853	214159869	17	*	X0068	5629	214161278	214214847	53570	+	1408	upstream	1408	PROX1
chr1	245318116	245318128	13	*	X0075	55083	245318287	245866428	548142	+	158	upstream	158	KIF26B
chr10	6621443	6621451	9	*	X0081	439949	6622387	6627323	4937	+	935	upstream	935	PRKCQ-AS1
chr10	23983528	23983554	27	*	X0086	56243	23983675	24836772	853098	+	120	upstream	120	KIAA1217
chr10	31609291	31609301	11	*	X0090	220930	31605457	31608024	2568	-	1266	upstream	1266	ZEB1-AS1
chr10	52750372	52750404	33	*	X0091	5592	52750911	54058110	1307200	+	506	upstream	506	PRKG1
chr10	52750754	52750762	9	*	X0092	5592	52750911	54058110	1307200	+	148	upstream	148	PRKG1
chr10	72970736	72970746	11	*	X0096	219699	72972292	73062635	90344	+	1545	upstream	1545	UNC5B
chr10	126138898	126138906	9	*	X0121	390010	126135998	126138550	2553	-	347	upstream	347	NKX1-2
chr11	57227223	57227231	9	*	X0136	349667	57228339	57244384	16046	+	1107	upstream	1107	RTN4RL2
chr11	57227234	57227243	10	*	X0137	349667	57228339	57244384	16046	+	1095	upstream	1095	RTN4RL2
chr11	57227403	57227412	10	*	X0138	349667	57228339	57244384	16046	+	926	upstream	926	RTN4RL2
chr11	57227497	57227512	16	*	X0139	349667	57228339	57244384	16046	+	826	upstream	826	RTN4RL2
chr11	57227531	57227539	9	*	X0140	349667	57228339	57244384	16046	+	799	upstream	799	RTN4RL2
chr11	67408704	67408717	14	*	X0144	347853	67398774	67407031	8258	-	1672	upstream	1672	TBX10
chr11	75922024	75922032	9	*	X0151	7481	75897370	75921803	24434	-	220	upstream	220	WNT11
chr11	75923035	75923045	11	*	X0152	7481	75897370	75921803	24434	-	1231	upstream	1231	WNT11
chr11	75923076	75923079	4	*	X0153	7481	75897370	75921803	24434	-	1272	upstream	1272	WNT11
chr11	113930568	113930576	9	*	X0159	7704	113930431	114121397	190967	+	0	inside	136	ZBTB16
chr12	14133628	14133638	11	*	X0170	2904	13714410	14133022	418613	-	605	upstream	605	GRIN2B
chr12	14133829	14133843	15	*	X0171	2904	13714410	14133022	418613	-	806	upstream	806	GRIN2B
chr12	14133850	14133860	11	*	X0172	2904	13714410	14133022	418613	-	827	upstream	827	GRIN2B
chr12	26277891	26277918	28	*	X0177	79365	26272959	26278003	5045	-	0	inside	84	BHLHE41
chr12	50450804	50450813	10	*	X0180	41	50451420	50477405	25986	+	606	upstream	606	ASIC1
chr12	57608863	57608872	10	*	X0184	11247	57610578	57620232	9655	+	1705	upstream	1705	NXPH4
chr12	57608874	57608883	10	*	X0185	11247	57610578	57620232	9655	+	1694	upstream	1694	NXPH4
chr12	57609236	57609244	9	*	X0186	11247	57610578	57620232	9655	+	1333	upstream	1333	NXPH4
chr12	57609341	57609349	9	*	X0187	11247	57610578	57620232	9655	+	1228	upstream	1228	NXPH4
chr12	82153275	82153286	12	*	X0192	8499	81652045	82153109	501065	-	165	upstream	165	PPFIA2
chr12	117801491	117801502	12	*	X0213	4842	117645947	117799607	153661	-	1883	upstream	1883	NOS1
chr12	117801531	117801548	18	*	X0214	4842	117645947	117799607	153661	-	1923	upstream	1923	NOS1
chr12	119771771	119771779	9	*	X0215	160777	119772517	119978852	206336	+	737	upstream	737	CCDC60
chr12	119771843	119771851	9	*	X0216	160777	119772517	119978852	206336	+	665	upstream	665	CCDC60
chr12	132907144	132907153	10	*	X0257	50614	132680917	132905905	224989	-	1238	upstream	1238	GALNT9
chr12	132907156	132907166	11	*	X0258	50614	132680917	132905905	224989	-	1250	upstream	1250	GALNT9
chr12	132907285	132907293	9	*	X0259	50614	132680917	132905905	224989	-	1379	upstream	1379	GALNT9
chr12	132907301	132907309	9	*	X0260	50614	132680917	132905905	224989	-	1395	upstream	1395	GALNT9
chr12	132907350	132907358	9	*	X0261	50614	132680917	132905905	224989	-	1444	upstream	1444	GALNT9
chr12	132907560	132907568	9	*	X0262	50614	132680917	132905905	224989	-	1654	upstream	1654	GALNT9
chr12	132907684	132907692	9	*	X0263	50614	132680917	132905905	224989	-	1778	upstream	1778	GALNT9
chr13	20734879	20734888	10	*	X0277	2700	20712395	20735183	22789	-	0	inside	294	GJA3
chr13	20735106	20735114	9	*	X0278	2700	20712395	20735183	22789	-	0	inside	68	GJA3
chr13	20735125	20735134	10	*	X0279	2700	20712395	20735183	22789	-	0	inside	48	GJA3
chr13	20735280	20735283	4	*	X0280	2700	20712395	20735183	22789	-	96	upstream	96	GJA3
chr13	22244010	22244050	41	*	X0281	2254	22245215	22278640	33426	+	1164	upstream	1164	FGF9
chr13	22244685	22244711	27	*	X0282	2254	22245215	22278640	33426	+	503	upstream	503	FGF9
chr13	22244758	22244766	9	*	X0283	2254	22245215	22278640	33426	+	448	upstream	448	FGF9
chr13	31478905	31478921	17	*	X0297	84935	31480312	31499709	19398	+	1390	upstream	1390	MEDAG
chr13	37005409	37005419	11	*	X0298	8900	37005657	37017019	11363	+	237	upstream	237	CCNA1
chr13	58205474	58205483	10	*	X0300	27253	58205789	58303065	97277	+	305	upstream	305	PCDH17
chr14	25518869	25518877	9	*	X0317	29091	25281306	25519171	237866	-	0	inside	293	STXBP6
chr14	29242167	29242175	9	*	X0319	387978	29241910	29264000	22091	+	0	inside	256	LINC01551
chr14	36001948	36001959	12	*	X0322	84684	36003248	36006260	3013	+	1288	upstream	1288	INSM2
chr14	42076355	42076356	2	*	X0323	145581	42076764	42373752	296989	+	407	upstream	407	LRFN5
chr14	42076562	42076572	11	*	X0324	145581	42076764	42373752	296989	+	191	upstream	191	LRFN5
chr14	42076726	42076751	26	*	X0325	145581	42076764	42373752	296989	+	12	upstream	12	LRFN5
chr14	42076753	42076761	9	*	X0326	145581	42076764	42373752	296989	+	2	upstream	2	LRFN5
chr14	51299389	51299408	20	*	X0330	51199	51186481	51297839	111359	-	1549	upstream	1549	NIN
chr14	88793638	88793647	10	*	X0357	54207	88646452	88793256	146805	-	381	upstream	381	KCNK10
chr14	88793659	88793667	9	*	X0358	54207	88646452	88793256	146805	-	402	upstream	402	KCNK10
chr15	37179565	37179573	9	*	X0365	145845	37156644	37178734	22091	-	830	upstream	830	LOC145845
chr15	52822453	52822464	12	*	X0366	4644	52599480	52821247	221768	-	1205	upstream	1205	MYO5A
chr15	60294848	60294861	14	*	X0368	27023	60296421	60328408	31988	+	1559	upstream	1559	FOXB1
chr15	60294864	60294876	13	*	X0369	27023	60296421	60328408	31988	+	1544	upstream	1544	FOXB1
chr15	64339719	64339729	11	*	X0370	23604	64199235	64338521	139287	-	1197	upstream	1197	DAPK2
chr15	66546291	66546299	9	*	X0371	84465	66187634	66546075	358442	-	215	upstream	215	MEGF11
chr15	79383207	79383218	12	*	X0377	5923	79252289	79383215	130927	-	0	overlapStart	0	RASGRF1
chr15	79383281	79383311	31	*	X0378	5923	79252289	79383215	130927	-	65	upstream	65	RASGRF1
chr15	79723845	79723857	13	*	X0380	23251	79724858	79764642	39785	+	1000	upstream	1000	MINAR1
chr15	94774310	94774320	11	*	X0394	55784	94774801	95027181	252381	+	480	upstream	480	MCTP2
chr16	10276753	10276762	10	*	X0404	2903	9847265	10276611	429347	-	141	upstream	141	GRIN2A
chr16	23313441	23313452	12	*	X0405	6338	23313591	23392620	79030	+	138	upstream	138	SCNN1B
chr16	23313537	23313545	9	*	X0406	6338	23313591	23392620	79030	+	45	upstream	45	SCNN1B
chr16	23313815	23313824	10	*	X0407	6338	23313591	23392620	79030	+	0	inside	223	SCNN1B
chr16	52583620	52583629	10	*	X0411	27324	52471918	52581714	109797	-	1905	upstream	1905	TOX3
chr16	55688913	55688921	9	*	X0412	6530	55689542	55740104	50563	+	620	upstream	620	SLC6A2
chr16	67283110	67283126	17	*	X0415	29109	67263292	67281425	18134	-	1684	upstream	1684	FHOD1
chr16	67283110	67283126	17	*	X0415	6553	67282855	67306094	23240	+	0	inside	254	SLC9A5
chr16	77469911	77469945	35	*	X0430	170692	77316025	77469011	152987	-	899	upstream	899	ADAMTS18
chr16	77469958	77469967	10	*	X0431	170692	77316025	77469011	152987	-	946	upstream	946	ADAMTS18
chr16	77469976	77469989	14	*	X0432	170692	77316025	77469011	152987	-	964	upstream	964	ADAMTS18
chr16	89158814	89158825	12	*	X0454	197322	89160217	89222171	61955	+	1391	upstream	1391	ACSF3
chr17	16395871	16395879	9	*	X0464	388341	16345319	16395505	50187	-	365	upstream	365	LRRC75A
chr17	16396157	16396166	10	*	X0465	388341	16345319	16395505	50187	-	651	upstream	651	LRRC75A
chr17	66598600	66598608	9	*	X0477	54757	66531257	66597095	65839	-	1504	upstream	1504	FAM20A
chr17	68166016	68166025	10	*	X0478	400617	68163102	68165543	2442	-	472	upstream	472	KCNJ2-AS1
chr17	71160264	71160296	33	*	X0479	6752	71161160	71168062	6903	+	863	upstream	863	SSTR2
chr17	71161173	71161182	10	*	X0480	6752	71161160	71168062	6903	+	0	inside	12	SSTR2
chr17	71161436	71161475	40	*	X0481	6752	71161160	71168062	6903	+	0	inside	275	SSTR2
chr18	501163	501171	9	*	X0492	81035	319355	500729	181375	-	433	upstream	433	COLEC12
chr18	31157844	31157853	10	*	X0497	80816	31158541	31327399	168859	+	687	upstream	687	ASXL3
chr18	31157860	31157871	12	*	X0498	80816	31158541	31327399	168859	+	669	upstream	669	ASXL3
chr18	31804736	31804751	16	*	X0499	8715	31431064	31803515	372452	-	1220	upstream	1220	NOL4
chr18	31804792	31804802	11	*	X0500	8715	31431064	31803515	372452	-	1276	upstream	1276	NOL4
chr18	55101610	55101652	43	*	X0502	9480	55102917	55158530	55614	+	1264	upstream	1264	ONECUT2
chr19	10516187	10516199	13	*	X0505	100302213	10514134	10514214	81	-	1972	upstream	1972	MIR1181
chr19	10516187	10516199	13	*	X0505	11140	10501809	10514271	12463	-	1915	upstream	1915	CDC37
chr19	34110852	34110862	11	*	X0523	64377	34112861	34264414	151554	+	1998	upstream	1998	CHST8
chr19	34110864	34110880	17	*	X0524	64377	34112861	34264414	151554	+	1980	upstream	1980	CHST8
chr19	34111303	34111332	30	*	X0525	64377	34112861	34264414	151554	+	1528	upstream	1528	CHST8
chr19	34111944	34111952	9	*	X0526	64377	34112861	34264414	151554	+	908	upstream	908	CHST8
chr19	51413911	51413922	12	*	X0548	9622	51409608	51413994	4387	-	0	inside	71	KLK4
chr19	55882297	55882310	14	*	X0549	3589	55875750	55881831	6082	-	465	upstream	465	IL11
chr2	2337019	2337028	10	*	X0550	23040	1792885	2335045	542161	-	1973	upstream	1973	MYT1L
chr2	30453609	30453617	9	*	X0560	81606	30454397	30482899	28503	+	779	upstream	779	LBH
chr2	30454164	30454177	14	*	X0561	81606	30454397	30482899	28503	+	219	upstream	219	LBH
chr2	72376360	72376374	15	*	X0577	56603	72356367	72374991	18625	-	1368	upstream	1368	CYP26B1
chr2	72376378	72376393	16	*	X0578	56603	72356367	72374991	18625	-	1386	upstream	1386	CYP26B1
chr2	72376395	72376414	20	*	X0579	56603	72356367	72374991	18625	-	1403	upstream	1403	CYP26B1
chr2	72376416	72376424	9	*	X0580	56603	72356367	72374991	18625	-	1424	upstream	1424	CYP26B1
chr2	72376429	72376437	9	*	X0581	56603	72356367	72374991	18625	-	1437	upstream	1437	CYP26B1
chr2	86566210	86566223	14	*	X0587	65055	86441120	86565206	124087	-	1003	upstream	1003	REEP1
chr2	105468223	105468235	13	*	X0591	100506421	105421883	105467934	46052	-	288	upstream	288	PANTR1
chr2	105469036	105469052	17	*	X0592	100506421	105421883	105467934	46052	-	1101	upstream	1101	PANTR1
chr2	105469655	105469663	9	*	X0593	100506421	105421883	105467934	46052	-	1720	upstream	1720	PANTR1
chr2	131513141	131513149	9	*	X0595	205147	131513077	131525707	12631	+	0	inside	63	AMER3
chr2	136877001	136877009	9	*	X0596	7852	136871919	136875725	3807	-	1275	upstream	1275	CXCR4
chr2	145276453	145276463	11	*	X0611	100303491	145277181	145278465	1285	+	717	upstream	717	ZEB2-AS1
chr2	152955975	152955989	15	*	X0614	785	152689286	152955593	266308	-	381	upstream	381	CACNB4
chr2	152957413	152957422	10	*	X0615	785	152689286	152955593	266308	-	1819	upstream	1819	CACNB4
chr2	170218877	170218885	9	*	X0616	4036	169983619	170219122	235504	-	0	inside	236	LRP2
chr2	170219224	170219234	11	*	X0617	4036	169983619	170219122	235504	-	101	upstream	101	LRP2
chr2	170219258	170219268	11	*	X0618	4036	169983619	170219122	235504	-	135	upstream	135	LRP2
chr2	170219271	170219280	10	*	X0619	4036	169983619	170219122	235504	-	148	upstream	148	LRP2
chr2	170219347	170219361	15	*	X0620	4036	169983619	170219122	235504	-	224	upstream	224	LRP2
chr2	170219430	170219439	10	*	X0621	4036	169983619	170219122	235504	-	307	upstream	307	LRP2
chr2	170219456	170219471	16	*	X0622	4036	169983619	170219122	235504	-	333	upstream	333	LRP2
chr2	219867525	219867534	10	*	X0630	494324	219866367	219866430	64	-	1094	upstream	1094	MIR375
chr20	22567164	22567186	23	*	X0648	3170	22561642	22566101	4460	-	1062	upstream	1062	FOXA2
chr20	22567230	22567239	10	*	X0649	3170	22561642	22566101	4460	-	1128	upstream	1128	FOXA2
chr21	31312422	31312448	27	*	X0727	2897	30909254	31312282	403029	-	139	upstream	139	GRIK1
chr21	31312459	31312468	10	*	X0728	2897	30909254	31312282	403029	-	176	upstream	176	GRIK1
chr21	31312471	31312491	21	*	X0729	2897	30909254	31312282	403029	-	188	upstream	188	GRIK1
chr21	43188127	43188136	10	*	X0739	54101	43159529	43187249	27721	-	877	upstream	877	RIPK4
chr21	46132635	46132643	9	*	X0747	54084	45917775	46131495	213721	-	1139	upstream	1139	TSPEAR
chr22	37100670	37100683	14	*	X0749	10369	36956916	37098690	141775	-	1979	upstream	1979	CACNG2
chr3	22414800	22414808	9	*	X0753	79750	21462490	22414123	951634	-	676	upstream	676	ZNF385D
chr3	30936741	30936743	3	*	X0761	339896	30767692	30936153	168462	-	587	upstream	587	GADL1
chr3	35680897	35680905	9	*	X0762	10777	35680666	35835988	155323	+	0	inside	230	ARPP21
chr3	37492948	37492968	21	*	X0763	3680	37493813	37861281	367469	+	844	upstream	844	ITGA9
chr3	64674784	64674822	39	*	X0772	56999	64501331	64673365	172035	-	1418	upstream	1418	ADAMTS9
chr3	123752755	123752764	10	*	X0785	8997	123752542	124440036	687495	+	0	inside	212	KALRN
chr3	132756457	132756465	9	*	X0789	66000	132757171	133116619	359449	+	705	upstream	705	TMEM108
chr3	142683068	142683077	10	*	X0796	344838	142680074	142682178	2105	-	889	upstream	889	PAQR9
chr3	142683081	142683109	29	*	X0797	344838	142680074	142682178	2105	-	902	upstream	902	PAQR9
chr3	179755685	179755693	9	*	X0808	51555	179512747	179754841	242095	-	843	upstream	843	PEX5L
chr3	187388353	187388363	11	*	X0812	6750	187386694	187388201	1508	-	151	upstream	151	SST
chr3	190040794	190040817	24	*	X0813	9076	190023490	190040235	16746	-	558	upstream	558	CLDN1
chr3	197808672	197808682	11	*	X0816	348840	197784404	197807542	23139	-	1129	upstream	1129	ANKRD18DP
chr4	46392839	46392847	9	*	X0825	2555	46251581	46392421	140841	-	417	upstream	417	GABRA2
chr4	74965500	74965547	48	*	X0832	2920	74962754	74964997	2244	-	502	upstream	502	CXCL2
chr4	81104872	81104881	10	*	X0835	56978	81105439	81125482	20044	+	557	upstream	557	PRDM8
chr4	81186793	81186801	9	*	X0837	2250	81187742	81212171	24430	+	940	upstream	940	FGF5
chr4	81186981	81186989	9	*	X0838	2250	81187742	81212171	24430	+	752	upstream	752	FGF5
chr4	96471605	96471619	15	*	X0844	8633	96083656	96470361	386706	-	1243	upstream	1243	UNC5C
chr4	109088299	109088307	9	*	X0846	641518	109088681	109097586	8906	+	373	upstream	373	LEF1-AS1
chr4	109088509	109088551	43	*	X0847	641518	109088681	109097586	8906	+	129	upstream	129	LEF1-AS1
chr4	109088573	109088581	9	*	X0848	641518	109088681	109097586	8906	+	99	upstream	99	LEF1-AS1
chr4	109090308	109090322	15	*	X0849	51176	108968701	109090112	121412	-	195	upstream	195	LEF1
chr4	109090753	109090762	10	*	X0850	51176	108968701	109090112	121412	-	640	upstream	640	LEF1
chr4	110223825	110223833	9	*	X0851	84570	109731877	110223799	491923	-	25	upstream	25	COL25A1
chr4	110223867	110223875	9	*	X0852	84570	109731877	110223799	491923	-	67	upstream	67	COL25A1
chr4	113437955	113437964	10	*	X0853	63973	113434672	113437328	2657	-	626	upstream	626	NEUROG2
chr4	150998462	150998479	18	*	X0862	166614	150999426	151178608	179183	+	946	upstream	946	DCLK2
chr4	166793250	166793291	42	*	X0867	7092	166794410	167025609	231200	+	1118	upstream	1118	TLL1
chr4	168155503	168155513	11	*	X0874	50859	167654536	168155741	501206	-	0	inside	227	SPOCK3
chr4	168156314	168156349	36	*	X0875	50859	167654536	168155741	501206	-	572	upstream	572	SPOCK3
chr5	5140591	5140599	9	*	X0881	170690	5140443	5320412	179970	+	0	inside	147	ADAMTS16
chr5	31193404	31193412	9	*	X0882	1004	31193762	31329253	135492	+	349	upstream	349	CDH6
chr5	76010658	76010666	9	*	X0893	2149	76011868	76031595	19728	+	1201	upstream	1201	F2R
chr5	92918479	92918491	13	*	X0896	441094	92745065	92917003	171939	-	1475	upstream	1475	NR2F1-AS1
chr5	92918479	92918491	13	*	X0896	7025	92919043	92929786	10744	+	551	upstream	551	NR2F1
chr5	92918494	92918508	15	*	X0897	441094	92745065	92917003	171939	-	1490	upstream	1490	NR2F1-AS1
chr5	92918494	92918508	15	*	X0897	7025	92919043	92929786	10744	+	534	upstream	534	NR2F1
chr5	94620680	94620688	9	*	X0899	79772	94042289	94620279	577991	-	400	upstream	400	MCTP1
chr5	94620767	94620776	10	*	X0900	79772	94042289	94620279	577991	-	487	upstream	487	MCTP1
chr5	114516116	114516125	10	*	X0901	55521	114460459	114516243	55785	-	0	inside	117	TRIM36
chr5	139423695	139423724	30	*	X0907	9542	139226364	139422884	196521	-	810	upstream	810	NRG2
chr5	146613835	146613843	9	*	X0910	202374	146614579	146764241	149663	+	735	upstream	735	STK32A
chr5	168728673	168728687	15	*	X0929	6586	168088738	168728133	639396	-	539	upstream	539	SLIT3
chr5	168729086	168729094	9	*	X0930	6586	168088738	168728133	639396	-	952	upstream	952	SLIT3
chr5	168729235	168729243	9	*	X0931	6586	168088738	168728133	639396	-	1101	upstream	1101	SLIT3
chr5	168729266	168729275	10	*	X0932	6586	168088738	168728133	639396	-	1132	upstream	1132	SLIT3
chr5	168729322	168729333	12	*	X0933	6586	168088738	168728133	639396	-	1188	upstream	1188	SLIT3
chr6	1608950	1608959	10	*	X0937	2296	1610681	1614129	3449	+	1721	upstream	1721	FOXC1
chr6	10412154	10412164	11	*	X0939	100130275	10412551	10416402	3852	+	386	upstream	386	TFAP2A-AS1
chr6	10412599	10412603	5	*	X0940	100130275	10412551	10416402	3852	+	0	inside	47	TFAP2A-AS1
chr6	37667009	37667018	10	*	X0951	266727	37600284	37665766	65483	-	1242	upstream	1242	MDGA1
chr6	39760446	39760456	11	*	X0952	23500	39760159	39872653	112495	+	0	inside	286	DAAM2
chr6	72595708	72595749	42	*	X0959	22999	72596406	73112845	516440	+	656	upstream	656	RIMS1
chr6	73331527	73331538	12	*	X0960	56479	73331571	73908573	577003	+	32	upstream	32	KCNQ5
chr6	114177540	114177549	10	*	X0977	4082	114178527	114184652	6126	+	977	upstream	977	MARCKS
chr6	114177552	114177561	10	*	X0978	4082	114178527	114184652	6126	+	965	upstream	965	MARCKS
chr6	117196752	117196779	28	*	X0979	222546	117198376	117253326	54951	+	1596	upstream	1596	RFX6
chr6	124124396	124124414	19	*	X0980	154215	124125069	125146786	1021718	+	654	upstream	654	NKAIN2
chr6	124125104	124125112	9	*	X0981	154215	124125069	125146786	1021718	+	0	inside	34	NKAIN2
chr6	127438834	127438842	9	*	X0982	84870	127440048	127518910	78863	+	1205	upstream	1205	RSPO3
chr7	15727161	15727169	9	*	X0993	4223	15650837	15726308	75472	-	852	upstream	852	MEOX2
chr7	29235247	29235266	20	*	X1006	54504	29035247	29234892	199646	-	354	upstream	354	CPVL
chr7	79083135	79083139	5	*	X1030	9863	77646374	79082890	1436517	-	244	upstream	244	MAGI2
chr7	79083187	79083195	9	*	X1031	9863	77646374	79082890	1436517	-	296	upstream	296	MAGI2
chr7	81400301	81400316	16	*	X1033	3082	81331444	81399452	68009	-	848	upstream	848	HGF
chr7	96654318	96654326	9	*	X1041	1749	96649702	96654143	4442	-	174	upstream	174	DLX5
chr7	96654329	96654342	14	*	X1042	1749	96649702	96654143	4442	-	185	upstream	185	DLX5
chr7	96655725	96655734	10	*	X1043	1749	96649702	96654143	4442	-	1581	upstream	1581	DLX5
chr7	107644182	107644190	9	*	X1056	3912	107564246	107643804	79559	-	377	upstream	377	LAMB1
chr7	107645351	107645360	10	*	X1057	3912	107564246	107643804	79559	-	1546	upstream	1546	LAMB1
chr7	113724677	113724686	10	*	X1060	93986	113726365	114333827	607463	+	1678	upstream	1678	FOXP2
chr7	113726248	113726259	12	*	X1061	93986	113726365	114333827	607463	+	105	upstream	105	FOXP2
chr7	113726266	113726274	9	*	X1062	93986	113726365	114333827	607463	+	90	upstream	90	FOXP2
chr7	113726291	113726299	9	*	X1063	93986	113726365	114333827	607463	+	65	upstream	65	FOXP2
chr7	113726310	113726337	28	*	X1064	93986	113726365	114333827	607463	+	27	upstream	27	FOXP2
chr7	120628792	120628806	15	*	X1065	79974	120628751	120937498	308748	+	0	inside	40	CPED1
chr7	120628817	120628836	20	*	X1066	79974	120628751	120937498	308748	+	0	inside	65	CPED1
chr7	120628845	120628855	11	*	X1067	79974	120628751	120937498	308748	+	0	inside	93	CPED1
chr7	136553415	136553426	12	*	X1072	1129	136553399	136701771	148373	+	0	inside	15	CHRM2
chr7	136553494	136553521	28	*	X1073	1129	136553399	136701771	148373	+	0	inside	94	CHRM2
chr7	136553524	136553525	2	*	X1074	1129	136553399	136701771	148373	+	0	inside	124	CHRM2
chr7	141403344	141403367	24	*	X1078	57189	141356528	141401953	45426	-	1390	upstream	1390	DENND11
chr8	69244280	69244288	9	*	X1108	286189	69215703	69243726	28024	-	553	upstream	553	C8orf34-AS1
chr8	79718012	79718020	9	*	X1117	3574	79645007	79717758	72752	-	253	upstream	253	IL7
chr8	114450734	114450763	30	*	X1127	114788	113235159	114449242	1214084	-	1491	upstream	1491	CSMD3
chr8	114450766	114450774	9	*	X1128	114788	113235159	114449242	1214084	-	1523	upstream	1523	CSMD3
chr8	114450806	114450814	9	*	X1129	114788	113235159	114449242	1214084	-	1563	upstream	1563	CSMD3
chr8	114450884	114450895	12	*	X1130	114788	113235159	114449242	1214084	-	1641	upstream	1641	CSMD3
chr8	121824676	121824684	9	*	X1131	6641	121547985	121824309	276325	-	366	upstream	366	SNTB1
chr9	10614536	10614545	10	*	X1146	5789	8314246	10612723	2298478	-	1812	upstream	1812	PTPRD
chr9	100262557	100262565	9	*	X1156	7111	100263462	100364025	100564	+	896	upstream	896	TMOD1
chr9	113343162	113343170	9	*	X1161	79987	113127529	113342160	214632	-	1001	upstream	1001	SVEP1
chr9	115653401	115653409	9	*	X1162	57864	115641200	115653193	11994	-	207	upstream	207	SLC46A2
chr9	116916697	116916710	14	*	X1163	85301	116918231	117072975	154745	+	1520	upstream	1520	COL27A1
chr9	116916718	116916726	9	*	X1164	85301	116918231	117072975	154745	+	1504	upstream	1504	COL27A1
chr9	116916760	116916772	13	*	X1165	85301	116918231	117072975	154745	+	1458	upstream	1458	COL27A1
chr9	116916814	116916828	15	*	X1166	85301	116918231	117072975	154745	+	1402	upstream	1402	COL27A1
chr9	116917062	116917074	13	*	X1167	85301	116918231	117072975	154745	+	1156	upstream	1156	COL27A1
chr9	117692884	117692893	10	*	X1173	944	117655623	117692875	37253	-	8	upstream	8	TNFSF8
chr9	117692896	117692922	27	*	X1174	944	117655623	117692875	37253	-	20	upstream	20	TNFSF8
chr9	117692924	117692938	15	*	X1175	944	117655623	117692875	37253	-	48	upstream	48	TNFSF8
chr9	117693431	117693439	9	*	X1176	944	117655623	117692875	37253	-	555	upstream	555	TNFSF8
chr9	117693498	117693507	10	*	X1177	944	117655623	117692875	37253	-	622	upstream	622	TNFSF8
chr9	117880329	117880338	10	*	X1178	3371	117781854	117880536	98683	-	0	inside	197	TNC
chrX	23351525	23351541	17	*	X1198	139411	23352985	23414918	61934	+	1443	upstream	1443	PTCHD1
